"item_id","resp","wave"
1,5,"w1"
2,5,"w1"
3,4,"w1"
4,5,"w1"
5,3,"w1"
6,3,"w1"
7,3,"w1"
8,5,"w1"
9,4,"w1"
10,4,"w1"
11,5,"w1"
12,3,"w1"
13,5,"w1"
14,3,"w1"
15,3,"w1"
16,4,"w1"
17,1,"w1"
18,4,"w1"
19,5,"w1"
20,5,"w1"
21,1,"w1"
22,4,"w1"
23,5,"w1"
24,1,"w1"
25,5,"w1"
26,2,"w1"
27,2,"w1"
28,2,"w1"
29,2,"w1"
30,3,"w1"
31,5,"w1"
32,1,"w1"
33,2,"w1"
34,4,"w1"
35,2,"w1"
36,2,"w1"
37,3,"w1"
38,3,"w1"
39,3,"w1"
40,4,"w1"
41,1,"w1"
42,2,"w1"
43,4,"w1"
44,4,"w1"
45,1,"w1"
46,4,"w1"
47,3,"w1"
48,3,"w1"
49,2,"w1"
50,2,"w1"
51,5,"w1"
