"item_id","resp","wave"
1,4,"w1"
2,2,"w1"
3,5,"w1"
4,3,"w1"
5,2,"w1"
6,2,"w1"
7,3,"w1"
8,5,"w1"
9,2,"w1"
10,5,"w1"
11,3,"w1"
12,3,"w1"
13,4,"w1"
14,1,"w1"
15,4,"w1"
16,3,"w1"
17,3,"w1"
18,2,"w1"
19,3,"w1"
20,2,"w1"
21,3,"w1"
22,4,"w1"
23,1,"w1"
24,3,"w1"
25,5,"w1"
26,1,"w1"
27,1,"w1"
28,2,"w1"
29,1,"w1"
30,1,"w1"
31,4,"w1"
32,1,"w1"
33,1,"w1"
34,5,"w1"
35,2,"w1"
36,4,"w1"
37,3,"w1"
38,3,"w1"
39,5,"w1"
40,4,"w1"
41,1,"w1"
42,1,"w1"
43,2,"w1"
44,2,"w1"
45,5,"w1"
46,1,"w1"
47,3,"w1"
48,4,"w1"
49,1,"w1"
50,1,"w1"
51,4,"w1"
